k,accuracy,type
1,1.0,train
2,0.96875,train
3,0.9375,train
4,0.96875,train
5,0.9375,train
10,0.84375,train
15,0.84375,train
20,0.90625,train
30,0.90625,train
32,0.5,train
1,0.875,test
2,1.0,test
3,1.0,test
4,1.0,test
5,1.0,test
10,1.0,test
15,1.0,test
20,1.0,test
30,1.0,test
32,0.5,test
